Node_ID,Lon,Lat,Tract_Node
76,-115.277932,36.166356,0
77,-115.1879154,36.190737,0
78,-115.1891287,36.1920886,0
79,-115.1508657,36.1848674,0
80,-115.1518996,36.1848738,0
81,-115.1496114,36.1848984,0
82,-115.1518102,36.2020756,0
83,-115.151821,36.2011813,0
84,-115.1517952,36.2031316,0
85,-115.1562754,36.2021137,0
86,-115.1562864,36.2012057,0
87,-115.2547369,36.1590997,0
88,-115.2550619,36.1590988,0
89,-115.2529873,36.159104,0
90,-115.1509025,36.1475355,0
91,-115.1500257,36.1475587,0
92,-115.149147,36.1475782,0
93,-115.1481762,36.1476024,0
94,-115.1473193,36.1476251,0
95,-115.1048383,36.1485229,0
96,-115.1046206,36.1486883,0
97,-115.1016489,36.1457017,0
98,-115.107013,36.148015,0
99,-115.108206,36.148017,0
100,-115.109474,36.148019,0
101,-115.10992,36.148022,0
102,-115.109916,36.147292,0
103,-115.111285,36.148028,0
104,-115.114377,36.14804,0
105,-115.116402,36.148044,0
106,-115.1183075,36.1481559,0
107,-115.11976,36.148241,0
108,-115.120642,36.148251,0
109,-115.1188885,36.1482274,0
110,-115.121211,36.148259,0
111,-115.12152,36.148263,0
112,-115.122405,36.148273,0
113,-115.1285492,36.148053,0
114,-115.130544,36.148022,0
115,-115.12769,36.148056,0
116,-115.13106,36.148017,0
117,-115.1321884,36.1480107,0
118,-115.1371115,36.1479577,0
119,-115.1369452,36.1479597,0
120,-115.1379608,36.1479892,0
121,-115.1371141,36.1471595,0
122,-115.1379572,36.1478814,0
123,-115.1428162,36.147749,0
124,-115.1415932,36.1477771,0
125,-115.1437313,36.1477236,0
126,-115.1446067,36.1477023,0
127,-115.154168,36.1483415,0
128,-115.1543654,36.148426,0
129,-115.1523788,36.1511886,0
130,-115.1535372,36.1480008,0
131,-115.1528271,36.1477693,0
132,-115.152981,36.1478936,0
133,-115.1529689,36.1476695,0
134,-115.1524276,36.1476411,0
135,-115.1517279,36.1475301,0
136,-115.1511436,36.1475319,0
137,-115.276281,36.210374,0
138,-115.276265,36.211486,0
139,-115.274895,36.207214,0
140,-115.272362,36.207415,0
141,-115.269719,36.207994,0
142,-115.2730676,36.2069943,0
143,-115.2785379,36.3120445,0
144,-115.2785346,36.312857,0
145,-115.2466841,36.1857059,0
146,-115.2466945,36.1864352,0
147,-115.2466877,36.1853594,0
148,-115.2467084,36.1871479,0
149,-115.246727,36.1876944,0
150,-115.246744,36.188195,0
151,-115.24674,36.1886473,0
152,-115.2467666,36.1922705,0
153,-115.2470654,36.1953036,0
154,-115.2470449,36.1969397,0
155,-115.2468086,36.1978092,0
156,-115.2471066,36.1960925,0
157,-115.2468218,36.1997226,0
158,-115.2468486,36.2034094,0
159,-115.2466518,36.1812676,0
160,-115.2466642,36.1820657,0
161,-115.2473735,36.1812713,0
162,-115.242406,36.1812092,0
163,-115.246669,36.1842356,0
164,-115.2466859,36.1849562,0
165,-115.227986,36.166375,0
166,-115.227103,36.166371,0
167,-115.228786,36.166379,0
168,-115.2282062,36.1592746,0
169,-115.2304146,36.1592455,0
170,-115.230165,36.183932,0
171,-115.229705,36.183888,0
172,-115.2318472,36.1843287,0
173,-115.2825658,36.3012522,0
174,-115.282711,36.3013686,0
175,-115.2817284,36.3020798,0
176,-115.2811289,36.3027164,0
177,-115.2806743,36.3031888,0
178,-115.143325,36.1718785,0
179,-115.144835,36.1695243,0
180,-115.144434,36.172355,0
181,-115.142161,36.171374,0
182,-115.1427153,36.1728289,0
183,-115.2698082,36.2432815,0
184,-115.2697992,36.2444439,0
185,-115.2698208,36.2417688,0
186,-115.2789152,36.2187118,0
187,-115.2789105,36.2185388,0
188,-115.287987,36.2186885,0
189,-115.2789783,36.2140694,0
190,-115.2790375,36.2102275,0
191,-115.2790904,36.2062612,0
192,-115.2798044,36.2027691,0
193,-115.2796245,36.2026792,0
194,-115.281083,36.2013024,0
195,-115.2849517,36.197169,0
196,-115.2849626,36.1968728,0
197,-115.2861494,36.1954072,0
198,-115.2862173,36.1952918,0
199,-115.286046,36.1952275,0
200,-115.2876312,36.1918409,0
201,-115.2871807,36.1740857,0
202,-115.2871743,36.1739688,0
203,-115.2937862,36.1750101,0
204,-115.26986,36.235324,0
205,-115.2698661,36.2352627,0
206,-115.2698817,36.2371118,0
207,-115.2692723,36.1879015,0
208,-115.2692633,36.1875387,0
209,-115.2058462,36.1629531,0
210,-115.2193881,36.1631311,0
211,-115.2193886,36.1628185,0
212,-115.2193641,36.1635098,0
213,-115.242038,36.1977963,0
214,-115.242057,36.1976506,0
215,-115.223849,36.1631451,0
216,-115.223776,36.1663581,0
217,-115.2239111,36.1605542,0
218,-115.233152,36.162208,0
219,-115.233169,36.161506,0
220,-115.233134,36.162907,0
221,-115.2167977,36.2193661,0
222,-115.2165825,36.221901,0
223,-115.216812,36.2170715,0
224,-115.2255802,36.2551992,0
225,-115.225596,36.2537155,0
226,-115.2255801,36.2555609,0
227,-115.326286,36.1850583,0
228,-115.326482,36.1851028,0
229,-115.325338,36.1878331,0
230,-115.3291658,36.1855259,0
231,-115.329278,36.1855288,0
232,-115.3290782,36.1868401,0
233,-115.3237753,36.2184313,0
234,-115.3249274,36.218477,0
235,-115.2444117,36.2036327,0
236,-115.283528,36.226183,0
237,-115.2790474,36.2261918,0
238,-115.286223,36.2261684,0
239,-115.2585284,36.244201,0
240,-115.2603401,36.2442093,0
241,-115.2558429,36.2442024,0
242,-115.2905504,36.2261588,0
243,-115.2881839,36.2261589,0
244,-115.2928169,36.2261587,0
245,-115.265126,36.295396,0
246,-115.2669514,36.2950851,0
247,-115.262845,36.295637,0
248,-115.2165283,36.2151009,0
249,-115.2163763,36.2140094,0
250,-115.2166816,36.2161114,0
251,-115.2457528,36.2115891,0
252,-115.237609,36.203288,0
253,-115.2386261,36.2033077,0
254,-115.235881,36.20326,0
255,-115.120649,36.166515,0
256,-115.120335,36.166517,0
257,-115.121189,36.166511,0
258,-115.120604,36.160609,0
259,-115.119249,36.1600367,0
260,-115.125058,36.16252,0
261,-115.118244,36.166535,0
262,-115.174232,36.1404876,0
263,-115.1671489,36.1483843,0
264,-115.3149077,36.2625868,0
265,-115.3126888,36.2625965,0
266,-115.314968,36.2589676,0
267,-115.3149223,36.2645014,0
268,-115.3149408,36.2663214,0
269,-115.3149175,36.2634413,0
270,-115.3150506,36.2681644,0
271,-115.314979,36.2921509,0
272,-115.3149784,36.2920385,0
273,-115.3194294,36.2920695,0
274,-115.3157276,36.2183795,0
275,-115.3180043,36.2183951,0
276,-115.315729,36.2182624,0
277,-115.3155492,36.2256803,0
278,-115.309358,36.2258359,0
279,-115.3155219,36.2281798,0
280,-115.3156436,36.220149,0
281,-115.3153892,36.2295644,0
282,-115.3160065,36.1749199,0
283,-115.3167025,36.1773496,0
284,-115.3171701,36.1779786,0
285,-115.229287,36.183867,0
286,-115.170708,36.143677,0
287,-115.2272086,36.184116,0
288,-115.197009,36.1773683,0
289,-115.1976188,36.1773638,0
290,-115.1943468,36.1773832,0
291,-115.2355021,36.2400013,0
292,-115.2380414,36.2402195,0
293,-115.2341025,36.1478881,0
294,-115.235783,36.166406,0
295,-115.2374341,36.166412,0
296,-115.233,36.166395,0
297,-115.315413,36.188054,0
298,-115.312549,36.18495,0
299,-115.3178482,36.189028,0
300,-115.3106018,36.1834697,0
301,-115.1699322,36.1440387,0
302,-115.310457,36.1833628,0
303,-115.3086203,36.1850056,0
304,-115.308308,36.182951,0
305,-115.3078935,36.1833622,0
306,-115.239002,36.203315,0
307,-115.2396566,36.203323,0
308,-115.2294081,36.1808913,0
309,-115.226067,36.1808052,0
310,-115.233168,36.180987,0
311,-115.238737,36.210574,0
312,-115.2422885,36.210771,0
313,-115.2371761,36.2104996,0
314,-115.295615,36.156175,0
315,-115.297608,36.1569079,0
316,-115.295296,36.154559,0
317,-115.2980844,36.1568193,0
318,-115.2982489,36.1567879,0
319,-115.299231,36.156596,0
320,-115.3023447,36.1559912,0
321,-115.3022137,36.155169,0
322,-115.303053,36.157993,0
323,-115.274588,36.205475,0
324,-115.274673,36.204319,0
325,-115.274655,36.206601,0
326,-115.170457,36.1440402,0
327,-115.246906,36.166456,0
328,-115.247548,36.166459,0
329,-115.2459755,36.16646,0
330,-115.2392939,36.1885997,0
331,-115.2384928,36.1885938,0
332,-115.2420823,36.1886203,0
333,-115.1998404,36.1494091,0
334,-115.199858,36.1472562,0
335,-115.1998374,36.1508542,0
336,-115.2433317,36.149761,0
337,-115.2432301,36.1478927,0
338,-115.2523376,36.1496017,0
339,-115.2524013,36.1505337,0
340,-115.252172,36.1477028,0
341,-115.2613845,36.1494286,0
342,-115.2615468,36.1513453,0
343,-115.246916,36.2464491,0
344,-115.2470459,36.2352302,0
345,-115.3029937,36.1767016,0
346,-115.3052564,36.1765543,0
347,-115.2211879,36.1517921,0
348,-115.2228001,36.1517808,0
349,-115.2190032,36.1517884,0
350,-115.146243,36.152957,0
351,-115.146277,36.152266,0
352,-115.146198,36.153878,0
353,-115.2756557,36.2629861,0
