Node_ID,Lon,Lat,Tract_Node
174,-104.9734969,39.6669436,0
175,-104.9734927,39.6666136,0
176,-104.9734967,39.6676887,0
177,-104.9734952,39.6663276,0
178,-104.9734919,39.6658544,0
179,-105.0152472,39.753141,0
180,-104.8403799,39.782489,0
181,-104.84044,39.7831552,0
182,-104.8406117,39.7847118,0
183,-104.8406288,39.7848833,0
184,-104.8398478,39.7849295,0
185,-104.8405172,39.7838676,0
186,-105.0161858,39.7513731,0
187,-105.017377,39.751237,0
188,-104.8403971,39.7818492,0
189,-104.8416073,39.7805234,0
190,-104.8417626,39.7806394,0
191,-104.8397821,39.7793185,0
192,-105.01581,39.7515127,0
193,-105.0142643,39.7801847,0
194,-105.0158489,39.7801897,0
195,-105.0156986,39.7518215,0
196,-105.0127057,39.7801798,0
197,-105.0141526,39.7313139,0
198,-105.0148189,39.7314269,0
199,-105.0139849,39.7297151,0
200,-105.0144852,39.7584073,0
201,-105.013148,39.7584052,0
202,-105.0158426,39.7584095,0
203,-105.0151844,39.751805,0
204,-105.0146978,39.7839178,0
205,-105.0158447,39.7839931,0
206,-105.0135432,39.7838344,0
207,-105.0142106,39.7202589,0
208,-105.0131888,39.7202604,0
209,-105.0152096,39.720257,0
210,-105.0158442,39.7589159,0
211,-105.0158334,39.7571855,0
212,-105.0181463,39.7584272,0
213,-105.0158482,39.7601464,0
214,-105.0158466,39.75964,0
215,-105.0158503,39.7607996,0
216,-105.0158506,39.7608945,0
217,-105.0158543,39.762031,0
218,-105.0158521,39.7656437,0
219,-105.0158602,39.7644417,0
220,-105.0158605,39.766859,0
221,-104.9005754,39.7782758,0
222,-104.898834,39.7782637,0
223,-105.0158688,39.768056,0
224,-105.0158445,39.7874365,0
225,-105.0158446,39.7856231,0
226,-105.0170058,39.7874372,0
227,-105.0158444,39.7892449,0
228,-105.0146965,39.7874358,0
229,-104.9936731,39.7593681,0
230,-104.9938177,39.7592645,0
231,-104.9948556,39.7656845,0
232,-104.9098055,39.7692695,0
233,-104.9094634,39.7692697,0
234,-104.9106198,39.7692738,0
235,-104.909807,39.7727385,0
236,-104.9077346,39.7724543,0
237,-104.9108459,39.7728961,0
238,-104.9093589,39.7256447,0
239,-104.9104941,39.7256434,0
240,-104.9093539,39.7292755,0
241,-104.9104901,39.7292737,0
242,-104.9081566,39.729278,0
243,-104.909386,39.7328944,0
244,-104.9081565,39.7328974,0
245,-104.910504,39.7328967,0
246,-104.9597869,39.7482163,0
247,-104.9597937,39.7469468,0
248,-104.9093662,39.7372747,0
249,-104.9105095,39.7372708,0
250,-104.909376,39.738713,0
251,-104.9081739,39.7387131,0
252,-104.9597757,39.7494634,0
253,-104.9093787,39.7401062,0
254,-104.9081703,39.740108,0
255,-104.961008,39.7482155,0
256,-104.9093845,39.7474448,0
257,-104.9081603,39.7474384,0
258,-104.9105108,39.7474425,0
259,-104.9093799,39.7510119,0
260,-104.908161,39.7510121,0
261,-104.9105116,39.7510117,0
262,-104.9093752,39.7547145,0
263,-104.9081506,39.7547163,0
264,-104.9105194,39.7547128,0
265,-104.9093953,39.758396,0
266,-104.908145,39.7584,0
267,-104.9105567,39.7583923,0
268,-104.9094155,39.7619853,0
269,-104.9105688,39.7619873,0
270,-104.9094399,39.7656485,0
271,-104.9106,39.7656456,0
272,-104.908207,39.7656516,0
273,-104.908226,39.7692678,0
274,-104.909738,39.7183682,0
275,-104.9087777,39.7183675,0
276,-104.9106959,39.7183677,0
277,-104.9124431,39.7329019,0
278,-104.9124415,39.7336481,0
279,-104.9116415,39.7328982,0
280,-104.9072781,39.7328971,0
281,-104.9081586,39.7338698,0
282,-104.9081571,39.7316823,0
283,-104.9069181,39.7328987,0
284,-104.9058136,39.7328992,0
285,-104.9046378,39.7328981,0
286,-104.9034633,39.7328923,0
287,-104.9020465,39.7328849,0
288,-104.9034629,39.7341717,0
289,-104.9034667,39.7316857,0
290,-104.893382,39.7328685,0
291,-104.8906037,39.7328603,0
292,-104.8943881,39.7328797,0
293,-104.8932686,39.7320535,0
294,-104.8894338,39.7328496,0
295,-104.8882373,39.7328477,0
296,-104.9316945,39.7766302,0
297,-104.93167,39.7797542,0
298,-104.8870538,39.7328467,0
299,-104.8858764,39.7328461,0
300,-104.8847193,39.7328435,0
301,-104.8850859,39.7328337,0
302,-104.8847899,39.7324206,0
303,-104.8847065,39.7341955,0
304,-104.9861365,39.7338486,0
305,-104.987401,39.733847,0
306,-104.9848834,39.7338503,0
307,-104.9317831,39.7758219,0
308,-104.9861347,39.7352723,0
309,-104.983611,39.7338519,0
310,-104.9810522,39.7337041,0
311,-104.9798697,39.7337048,0
312,-104.9822806,39.7337034,0
313,-104.9786973,39.733699,0
314,-104.937327,39.7804647,0
315,-104.9400747,39.7834069,0
316,-104.97645,39.7336971,0
317,-104.975288,39.7337012,0
318,-104.9776079,39.7336931,0
